Topic,Count,Name,Prevalence (%),Patient Count,BERTopic_Topic_Name,,
0,2493,0_septicemia_nos_failure_sepsis,9.24533195,2316,Acute Cardiac Conditions,,
4,1408,4_neo_malig_cancer_mal,9.021654564,1150,Acute and Chronic Respiratory Conditions,,
7,998,7_hernia_abscess_esophagus_obstr,8.496498963,2621,Aneurysms and Myocardial Infarction,,
5,1361,5_hmrhg_colon_dvrtclo_procedure,7.507780083,1155,Bacterial Infections and Sepsis,,
1,2240,1_athrscl_vssl_natve_crnry,7.352178423,2852,Cardiovascular and Vascular Disorders,,
2,1767,2_fracture_fx_rib_injury,7.209543568,930,Chronic Heart Failure and Disorders,,
8,991,8_puncture_procedure_infection_tract,7.050700207,912,Colonic and Hemorrhagic Conditions,,
3,1503,3_subendo_initial_infarct_catheterization,5.549792531,1320,Gastrointestinal Disorders,,
6,1150,6_hemorrhage_intracerebral_subarachnoid_subdural,5.095954357,1572,Hepatic and Renal Disorders,,
13,632,13_trachea_exac_bronch_tracheostomy,5.027878631,2175,Intracerebral and Subarachnoid Hemorrhages,,
10,806,10_respiratry_acute_failure_intubation,4.279045643,999,Neurological Trauma and Hemorrhages,,
17,542,17_devgraft_vasc_reactoth_malfunc,3.893283195,1712,Oncological Disorders,,
14,626,14_hrt_fail_heart_on,3.744164938,1551,Renal Failure and Acute Conditions,,
11,720,11_ami_init_wall_catheterization,3.727956432,2268,Sepsis and Systemic Infections,,
15,582,15_subdural_coma_hematoma_brain,3.588563278,1107,Stroke and Cerebral Infarctions,,
16,550,16_aneurysm_aortic_thoracic_nonrupt,3.238459544,2224,Trauma and Fracture Injuries,,
12,657,12_infrct_crbl_ocl_art,3.014782158,2783,Valvular and Aortic Disorders,,
9,882,9_aortic_valve_disorder_stenosis,2.956431535,1201,Vascular Graft and Cardiac Device Complications,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,0,,,
,,,,0.483592401,,,
,,,,0.364347826,,,
,,,,0.457840519,,,
,,,,0.40952381,,,
,,,,0.462131837,,,
,,,,0.491397849,,,
,,,,0.421052632,,,
,,,,0.493181818,,,
,,,,0.458651399,,,
,,,,0.487356322,,,
,,,,0.438438438,,,
,,,,0.394275701,,,
,,,,0.48549323,,,
,,,,0.236772487,,,
,,,,0.448057814,,,
,,,,0.35926259,,,
,,,,0.455264103,,,
,,,,0.438800999,,,
,,,,,,,
,,,,56212,,,
,,,,1628,,,
,,,,9654,,,
,,,,4240,,,
,,,,41041,,,
,,,,41011,,,
,,,,5789,,,
,,,,99811,,,
,,,,53240,,,
,,,,4280,,,
,,,,42823,,,
,,,,42833,,,
,,,,389,,,
,,,,3842,,,
,,,,3849,,,
,,,,43411,,,
,,,,43491,,,
,,,,43310,,,
,,,,4241,,,
,,,,4417,,,
,,,,4400,,,
,,,,51881,,,
,,,,486,,,
,,,,51884,,,
,,,,431,,,
,,,,430,,,
,,,,4321,,,
,,,,5070,,,
,,,,5722,,,
,,,,5990,,,
,,,,4373,,,
,,,,4414,,,
,,,,4412,,,
,,,,41071,,,
,,,,42731,,,
,,,,99859,,,
,,,,5070,,,
,,,,51919,,,
,,,,1623,,,
,,,,41401,,,
,,,,41402,,,
,,,,99641,,,
,,,,85221,,,
,,,,41519,,,
,,,,3968,,,
,,,,4271,,,
,,,,4210,,,
,,,,82021,,,
,,,,1983,,,
,,,,5770,,,
,,,,5712,,,
,,,,5849,,,
,,,,99662,,,
,,,,3811,,,
